,day,date,admits_hospitalized,admits_icu,admits_ventilated
124,77,2020-06-24,122.50907480123715,36.752722440371144,24.50181496024743
125,78,2020-06-25,117.18868859631402,35.15660657889566,23.437737719264078
126,79,2020-06-26,112.08884214087811,33.62665264226234,22.417768428173986
127,80,2020-06-27,107.20229019880207,32.16068705964062,21.440458039761324
128,81,2020-06-28,102.52174107210521,30.756522321631564,20.504348214421043
129,82,2020-06-29,98.03990515019177,29.411971545057895,19.6079810300389
130,83,2020-06-30,93.74953625437047,28.124860876310777,18.74990725087264
131,84,2020-07-01,89.64346652382665,26.893039957147266,17.928693304766057
132,85,2020-07-02,85.71463554256115,25.7143906627698,17.142927108512595
133,86,2020-07-03,81.9561143576866,24.586834307307072,16.391222871538048
134,87,2020-07-04,78.36112498861985,23.508337496583408,15.672224997723788
135,88,2020-07-05,74.92305597628365,22.476916792886186,14.984611195256548
136,89,2020-07-06,71.63547447205929,21.490642341617786,14.327094894411857
137,90,2020-07-07,68.4921353186146,20.54764059558329,13.698427063722193
138,91,2020-07-08,65.48698752969722,19.646096258909893,13.097397505939625
139,92,2020-07-09,62.61417853343664,18.784253560030265,12.522835706687147
140,93,2020-07-10,59.86805650450333,17.96041695135318,11.973611300901212
141,94,2020-07-11,57.24317107360548,17.172951322079825,11.448634214720187
142,95,2020-07-12,54.734272669902566,16.42028180097077,10.946854533981423
143,96,2020-07-13,52.336310720991605,15.700893216297118,10.467262144197775
144,97,2020-07-14,50.04443090784844,15.013329272354895,10.008886181570233
145,98,2020-07-15,47.85397164698588,14.356191494096493,9.570794329396449
146,99,2020-07-16,45.76045994996821,13.728137984991918,9.152091989994005
147,100,2020-07-17,43.759606790226826,13.127882037068048,8.751921358046275
148,101,2020-07-18,41.847302089405275,12.554190626819036,8.369460417879964
149,102,2020-07-19,40.019609419796325,12.005882825938897,8.003921883959265
150,103,2020-07-20,38.272760505253245,11.481828151578156,7.654552101051195
151,104,2020-07-21,36.603149590860994,10.98094487725757,7.320629918172017
152,105,2020-07-22,35.00732774062635,10.502198322186814,7.001465548124543
153,106,2020-07-23,33.481997113303805,10.04459913399296,6.6963994226616705
154,107,2020-07-24,32.02400525783378,9.60720157734977,6.404801051567119
155,108,2020-07-25,30.63033946293217,9.189101838877832,6.1260678925855245
156,109,2020-07-26,29.29812118908012,8.789436356726583,5.859624237816206
157,110,2020-07-27,28.024600605895102,8.407380181766712,5.6049201211790205
158,111,2020-07-28,26.807151252658514,8.04214537579901,5.361430250532067
159,112,2020-07-29,25.643264836799062,7.6929794510379,5.128652967358903
160,113,2020-07-30,24.53054618062015,7.359163854185681,4.906109236125303
161,114,2020-07-31,23.466708324565843,7.040012497371208,4.693341664912623
162,115,2020-08-01,22.449567792100424,6.734870337630127,4.489913558420085
163,116,2020-08-02,21.477040019937704,6.443112005979856,4.295408003987177
164,117,2020-08-03,20.54713495489341,6.164140486469478,4.109426990978136
165,118,2020-08-04,19.65795281782266,5.8973858453464345,3.9315905635658055
166,119,2020-08-05,18.80768003340927,5.6423040100235085,3.761536006682036
167,120,2020-08-06,17.9945853238969,5.398375597167615,3.598917064779016
